| Contenidos | 3º | 4º |
| La comunidad como el espacio en el que se vive y se encuentra la escuela. | Indaga acerca de ideas, conocimientos, prácticas culturales, formas de organización y acuerdos familiares, escolares y comunitrios, para compartir su importancia en la socialización | Reconoce ideas, conocimientos, prácticas culturales y formas de organización, para explicar el significado que tienen en su familia, escuela y comunidad. |
| Las familias como espacio de protección, cuidado, afecto y sustento para el desarrollo personal. | Identifica formas de convivencia y socialización en las familias, para distinguir formas de participación y colaboración. | Reflexiona sobre el valor de la familia y de la aportación de sus integrantes, para favorecer su desarrollo personal y afectivo. |
| | Identifica los valores que posee y que han sido heredados de su familia, para fomentar cuidados afectivos. | Describe los valores que distinguen a su familia, para entenderlos como elementos de desarrollo social y personal. |
| Entendimiento mutuo en la escuela | Participa en distintas situaciones para acordar reglas en su familia, escuela y comunidad. | Comparte ideas y experiencias sobre direntes temas, para aprender la importancia de escuchar. |
| | Reflexiona sobre el seguimiento de reglas para expresar las semejanzas y diferencias. | Conoce distintos puntos de vista, para favorecer el entendimiento y la negociación con las demás personas. |
| | Expresa la importancia del entendimiento, para la convivencia pacífica. |  |
| La escuela como espacio de convivencia, colaboración y aprendizaje. | Participa en la organización del aula y en la generación de normas, para el uso y disfrute de los materiales de apoyo y otros recursos existentes en la escuela, como el patio, el jardín y las canchas deportivas, entre otros. | Participa en la toma de decisiones sobre el funcionamiento de la escuela y la relación escuela-comunidad, para favorecer la colaboración. |
| | Platica con docentes y compañeras o compañeros sobre la importancia de reconocer situaciones interpersonales, sociales y ambientales problemáticas en su contexto, y sobre la posibilidad de contribuir para el logro de un mayor bienestar personal y colectivo. | Propone alternativas que favorezcan la colaboración entre las personas que integran la escuela y su comunidad para enriquecer sus experiencias, saberes y conocimientos. |
| Formas de ser, pensar, actuar y relacionarse. | Reconoce carácterísticas que le hacen una persona diferente y a la vez única, para favorecer la construcción de identidad. | Comparte los cambios que afronta en sus capacidades y las formas de ser, pensar, actuar y relacionarse para valorar la manera en que las demás personas inciden en la construcción de su identidad. |
| Construcción del proyecto de vida. | Reflexiona acerca de logros cotidianos, académicos y emocionales, así como los aspectos que inciden en estos y los retos que tiene, para valorar su nivel de independencia y replantear sus metas. | Reconoce cambios en sus necesidades, intereses y logros, para ajustar metas y diseñar estrategias que permitan cumplirlas. |
| | Explora las influencias de su familia, comunidad y cultura en la historia personal, para visualizar oportunidades y dificultades a superar en el planteamiento y logro de metas. | Reflexiona acerca de los factores culturales, socials u otros presentes en la conformación de las ideas, preferencias, necesidades y circunstancias, para determinar aspectos que posibilitan o limitan el desarrollo personal y colectivo. |
| Equidad de género en las familias, la escuela y la comunidad. | Analiza prácticas equitativas que favorecen la convivencia en diversos contextos, como la distribución de las tareas y responsabilidaes cotidianas para identificar y proponer mejores formas de relación entre hombres y mujeres. | Reflexiona acerca de los estilos de relación y distribución de responsabilidades, para tomar decisiones respecto de aquellos que inciden positivamente en el bienestar de todas y todos. |
