| Contenidos | 3º | 4º |
| Representaciones cartográficas de la localidad y/o comunidad; su ubicación dentro de la entidad y del país, con relación al conocimiento, función y cuidados de los ecosistemas como sustento de la vida. | Elabora representaciones cartográficas de la localidad o pueblo donde vive, considerando los puntos cardinales dentro de la entidad. | Elabora representaciones cartográficas de la entidad y el territorio nacional, considerando los puntos cardinales. |
| | Indaga sobre los ecosistemas locales y sus características, y los concibe como espacios vivos y complejos de la naturaleza. | Indaga sobre los cambios en los componentes del ecosistema (suelo, agua, aire y seres vivos, entre otros) por causas físicas o sociales. |
| | Indaga sobre los ecosistemas locales y sus características, y los concibe como espacios vivos y complejos de la naturaleza. | Comprende que las personas de distintas culturas interactúan de diferente manera con los ecosistemas, distinguiendo las formas de trabajo en que las mujeres y las personas de los pueblos originarios, afrodescendientes y otras culturas de su entidad o país conviven de manera más armónica con los ecosistemas protegíendolos y preservándolos. |
| | Reflexiona situaciones de riesto o amenazas a la preservación de los ecosistemas y sus posibles causas locales. | Valora la importancia del respeto y colaboración en su cuidado y aprovechamiento sustentable, con equidad y justicia social. |
| | Conoce cómo se puede contribuir a preservar los ecosistemas, así como sobre la importancia del respeto, responsabilidad y colaboración en su cuidado y aprovechamiento sustentable, a través del tiempo, con equidad y justicia social. | Propone acciones para contribuir en la preservación de los ecosistemas, de manera personal y comunitaria, desde el trabajo y en la convivencia cotidiana de la comunidad, el barrio, el puebo o la ciudad. |
| Valoración de los ecosistemas: características del territorio como espacio de vida y las interacciones de la comunidad con los ecosistemas, para su preservación responsable y sustentable. | Representa cartográficamente las características del territorio de su comunidad, como espacio de vida. | Representa la visión de su comunidad respecto a su relación con la naturaleza y las tradiciones culturales construidas, a partir de su interacción con los ecosistemas del territorio. |
| | Indaga las interacciones de la comunidad con los ecosistemas del territorio, reconociendo: rasgos físicos, altitud, biodiversidad local (tipo de suelo, tipos de cultivos, aire, agua (de dónde llega el agua que toman en su comunidad, manantiales, ríos, lagunas, barrancas). | Analiza críticamente otras formas de interacción de las sociedades con la naturaleza, que afectan los sistemas de vida en su territorio y en su comunidad, reconociendo que la vida humana y la de otros seres vivos depende de que se establezcan prácticas que reduzcan el impacto negativo, sino también en la sociedad, tales como el consumo sustentable, el comercio justo o economía solidaria, la agroecología y la protección del patrimonio biocultural. |
| | Analiza críticamente cómo interactúa con ellos cotidianamente, así como los beneficios que obtiene para su supervivencia junto con su comunidad (alimentación, salud, vestido, economía, bienestar) su buen manejo (valores culturales de bienestar y conservación del territorio y sus ecosistemas en la vida cotidiana), su manejo inadecuado (valores culturales que degradan el territorio, sus ecosistemas, la vida, la salud y la tradición cultural de la comunidad), y evalúa los impactos positivos y negativos de sus interacciones y de la sociedad con la naturaleza. | Dialoga sobre el derecho humano a un ambiente sano, adecuado para su desarrollo y el bienestar y cómo es posible ejercerlo. |
| | Comprende la importancia de que las personas actuemos con responsabilidad, disminuyendo el deterioro de los ecosistemas, a partir de prácticas para la preservación de la vida y el bienestar de la comunidad. |  |
| Interculturalidad y sustentabilidad: formas en las que los pueblos originarios y otras culturas del país se relacionan con la naturaleza para contribuir a reducir el impacto negativo de la humanidad en el medio natural y social, así como acciones colectivas para promover el bienestar con respeto y protección, a fin de preservar la naturaleza y fortalecer la conciencia geográfica. | Reconoce y analiza otras cosmovisiones o formas de relación de la sociedad con la naturaleza de pueblos originarios, campesinos y de otras culturas del país, que han establecido patrones de uso de los ecosistemas, sustentados en valores que tienen como principio una relación de respeto, equilibrio y reciprocidad con los ecosistemas de la Tierra y los otros seres vivos, así como su contribución en un manejo responsable o sustentable de su riqueza natural y en su preservación. | Indaga y analiza formas diversas en que las mujeres contribuyen en el cuidado y la preservación del ambiente y la salud, así como acciones sociales y políticas que se orientan a recuperar prácticas tradicionales que ayuden a reducir y a transformar el deterioro que ocasiona la cultura capitalista dominante en la naturaleza y la sociedad. |
