| Contenidos | 3º | 4º |
| Narración de sucesos del pasado y del presente. | Identifica y comprende la función y las características principales de la narració. | Reconoce y usa diversos estilos, recursos y estrategias narrativas. |
| | Reonoce y usa las estructuras narrativas: lineal, circular, in mediares y otras, de acuerdo con su propia cultura y gusto para narrar. | Establece relaciones causales y temporales entre acontecimientos. |
| | Identifica y establece relaciones causa-efecto en una narración. | Reflexiona sobre los tiempos presente, pretérito y copretérito, para narrar sucesos. |
| | Usa el punto y el punto y seguido para separar oraciones en un párrafo. | Infiere el significado de las palabras, a partir de la información contextual de un texto. |
| Descripción de personas, lugares, hechos y procesos. | Comprende, a partir de la lectura de textos descriptivos, que hay formas detalladas para describir a las personas y los lugares, señalando características que van más allá de su apariencia. | Planea, escribe, revisa y corrige textos donde describe, de manera lógica, procesos con los que tiene cierta familiaridad. |
| | Reflexiona sobre el uso de palabras y frases para describir personas, lugares y hechos: adjetivos, adverbios y frases adverbiales. | Reflexiona sobre el uso de palabras y frases adjetivas y adverbiales para describir procesos. |
| | Planea, escribe, revisa y corrige textos en los que describe hechos de orden cronológico. | Utiliza algunos conectores secuenciales, como en primer lugar, posteriormente, finalmente; y temporales, como al mismo tiempo, simultaneamente, más tarde, antes, cuando describe un proceso, a fin de dar claridad al texto. |
| | Reflexiona sobre el uso de la coma al enumerar cosas o elementos y la emplea. | Revisa y corrige las descripciones que realiza, para transmitir ideas de forma clara, evitando repeticiones innecesarias. |
| | Usa mayúsculas al inicio de las oraciones y de los nombres propios. | Reconoce el uso del punto y coma y los dos punto, y los emplea al enumerar diferentes elementos o aspectos. |
| Diálogo para la toma de acuerdos y el intercambio de puntos de vista. | Reconoce y usa aputas que norman los intercambios orales, como respetar el turno para hacer uso de la palabra, prestar atención, adecuar el volumen de voz, emplear fórmulas de cortesía, mantener el interés, plantear preguntas. | Indica de manera respetuosa cuando no ha comprendido los puntos de vista o ideas de otros. |
| | Escucha las ideas de otras y otros, y expresa las propias con respeto. | Utiliza información de varias fuentes orales y escritas, para explicar y argumentar sus propias ideas y puntos de vista. |
| | Reconoce que expresar sus ideas con claridad y acompañadas de las razones que las sustentan, son aspectos que ayudan a que otras personas las comprendan. | Recupera de forma explícita experiencias y conocimientos, para tomar decisiones o asumir una postura. |
| | Participa activamente en diálogos para tomar acuerdos, dando razones de sus preferencias o puntos de vista. | Intercambia información, practica la escucha activa, empatía y/o negociación y toma de acuerdos. |
| Comprensión y producción de textos expositivos en los que se planteen: problema-solución, comparación-contraste, causa-consecuencia y enumeración. | Recurre a diversos soportes que contienen contextos expositivos, para ampliar sus conocimientos sobre algún tema, así como a disccionarios para consultar definiciones. | Identifica los efectos de una situación o fenómento planteados en la información que presenta un texto expositivo. |
| | Comprende textos expositivos que plantean un problema y la solución al mismo. | Planea, escribe, revisa y corrige sus propios textos expositivos del tipo: problema-solución, comparación, contraste, causa-consecuencia y enumeración. |
| | Reconoce semejanzas y diferencias entre textos de comparación y de contraste. | Es capaz de seleccionar fuentes y obtener información para proponer soluciones a problemas de su entorno. |
| | Se apoya en la enumeración para identificar los principales elementos del tema que trata. | Utiliza nexos, adverbios y frases adverbiales de secuencia como luego, más adelante, después, antes, más temprano, así como nexos para establecer comparaciones en cambio, por un lado, por otro lado, a diferencia de, al igual que. |
| | Participa en la planeación y escritura de algún texto expositivo, así como en su revisión y corrección, haciendo sugerencias de mejora. |  |
| | Reflexiona sobre palabras y frases que impliquen comparación: algunos, otros, en cambio. |  |
| Búsqueda y manejo reflexivo de información. | Formula preguntas para realizar la búsqueda de información y las responde luego de localizar la información correspondiente. | Elabora preguntas para localizar la información que requiere y reflexionba sobre el uso de acentos gráficos en palabras que se usan para preguntar: qué. Cómo, cuándo, dónde, por qué, para qué. |
| | Emplea los signos de de interrogación al elaborar preguntas. | Emplea elementos de los textos que organizan el contenido: titulos, subtitullos, viñetas, tipografía, palabras clave, para localizar información. |
| | Usa variadas fuentes de consulta, entre ellas medios de comunicación y personas, recupera información pertinentes, en función del propósito de búsqueda: resolver dudas, profundizar en un tema, escribie un texto, preparar una exposición, generar contenido en las redes sociales, etcétera. | Hace anticipaciones sobre el contenido de un libro, a partir de la información de la portada y contraportada. |
| | Reflexiona sobre el orden alfabético en diccionarios e índices de otras obras de consulta y lo emplea para localizar información. | Diversifica el uso de fuentes de consulta en función del propósito y el tema, y reconoce la organización de materiales y sus elementos. |
| | Comprende el sentido general de un texto informativo. | Parafrasea y/o ejemplifica planteamientos que expone un texto informativo. |
| |  | Consulta diccionarios y glosarios para resolver dudas relacionadas con el uso de ciertos términos. |
| Comprensión y producción de textos discontinuos para organizar actividades y ordenar información. | Identifica características y funciones de los textos discontinuos, en particular de esquemas de partes de seres vivos y objetos, así como de la programación y/o calendarización de actividades. | Identifica características y funciones e los textos discontinuos, en particular de líneas del tiempo, tablas de doble entrada y gráficas. |
| | Reflexiona sobre la utilidad de los formatos para organizar actividades e información. | Reflexiona sobre el uso de textos discontinuos, para resumir y ordenar información. |
| | Usa mayúsculas al comienzo de nombres propios y oraciones. | Produce textos discontinuos para organizar información que expone a otras personas. |
| |  | Emplea signos de puntuación como el punto y la coma. |
| Comprensión y producción de resúmenes. | Reflexiona sobre las funciones y características del resumen, como un tipo de texto conciso, cuyo objetivo principal es exponer de forma clara, precisa y breve las ideas más importantes de la fuente consultada y no como un producto de una tarea mecánica, alejada de la comprensión de las ideas expuestas. | Explora y analiza el contenido de los textos por resumir. |
| | Determina cuál considera que es la información más relevante del texto por resumir, en función de sus propósitos, y la registra con sus propias palabras. | Relaciona el contenido del texto por resumir y los recursos complementarios: recuadros, tablas, gráficas e imágenes. |
| | Establece diferencias entre paráfrasis y síntesis. | Registra, con sus propias palabras, la información más relevante del texto por resumir, en función de los propósitos predeterminados; por ejemplo: escribir un texto informativo o presentar una exposición. |
| | Emplea el punto y aparte para organizar un texto por párrafos. | Usa signos de interrogración y exclamación para distinguir una pregunta de la expresión de una emoción. |
| |  | Revisa y corrige errores de concordancia de genéro y número. |
| Comprensión y producción de textos instructivos para realizar actividades escolares y participar en diversos juegos. | Identifica y reflexiona sobre la función de los textos instructivos y sus características genéricas: organización de los datos; uso de numerales para ordenar cronológicamente los pasos de un procedimiento; brevedad y secuencia de la información; y precisión en las indicaciones. | Analiza las características de diversos textos instructivos, como reglamentos, recetas médicas y de cocina, indicaciones para participar en un juego de mesa o de patio, e interpreta la información que presentan. |
| | Comprende la utilidad de los recursos gráficos empleados en textos instructivos, diagramas de procesos, ilustraciones, cuadrados y símbolos. | Emplea verbos en infinitivo o imperativo, así como términos secuenciales, para escribir instrucciones. |
| | Identifica y reflexiona respecto del vocabulario empleado en los instructivos: verbos en infinitivo o en imperativo para redactar instrucciones y términos secuenciales, como primero, después, antes de, enseguida, finalmente. | Describe el orden secuencial de un procedimiento. |
| | Emplea signos de puntuación, como la coma, el punto y seguido, el punto y aparte, dos puntos. | Reflexiona sobre la ortografóa de palabras homónimas. |
| |  | Emplea signos de puntuación como el punto, la coma y los dos puntos. |
| Exposición sobre temas diversos. | Reconoce características de la oralidad: recursos expresivos (estilo) y paralingüísticos o no lingüísticos, como movimiento corporal y gestos. | Expone sobre diversos temas, considerando: Como presentador o presentadora planear su exposición, lo cual incluye la elaboración de materiales de apoyo; realizar apuntes para usar como guía; reflexiona sobre el uso de sinónimos y antónimos; mantener el interés del auditorio; ajustando el volumen de voz y usando elementos paralingüísticos; responder dudas y atender inquietudes. Como audicencia escuchar atenta y comprensivamente, tomando notas; plantear preguntas o comentar sobre lo expuesto. |
| | Expone sobre diversos temas considerando: Como presentador o presentadora, planear su exposición, lo cual incluye la elaboración de materiales de apoyo; realizar apuntes para usar como guía; usar pronombres y nexos; valorar el interés del auditorio. Como audiencia: Escuchar o atender lo que se comunica, siguiendo el hilo de lo que se dice; tomar nota de lo que se quiere recordar. |  |
| Comunicación a distancia con personas y propósitos diversos. | Lee y comenta cartas reales y/o literarias. | Lee y analiza cartas reales y/o literarias. |
| | Identifica características y funciones de las cartas y otros textos epistolares enviados o recibidos por vía postal o electrónica. | Usa convenciones de cartas y otros textos epistolares, como lugar, fecha, destinatario, dirección, en el intercambio postal y/o electrónico de mensajes. |
| | Intercambia mensajes epistolares, por vía postal y/o electrónica, con otras personas a partir de propósitos determinados, como saludar, invitar, felicitar, dar recados, informar, entre otros. | Mantiene comunicación a distancia con interlocutores y propósitos diversos, usando invitaciones, felicitaciones, recados, tarjetas postales y documentos adjuntos. |
| | Reflexiona, al comunicarse a distancia, sobre la necesidad de proteger sus datos personales y propone medidas para salvaguardar su integridad física y moral. | Reflexiona sobre la necesidad de proteger sus datos personales y acuerda medidas y acciones para salvaguardar su integridad física y moral. |
| Análisis e intercambio de comentarios sobre empaques de productos y anuncions publicitarios. | Reonoce y reflexiona sobre información que contienen los empaques y otros recursos publicitarios de productos diversos. | Comprende advertencias e instrucciones incluidas en empaques y etiquetas de productos, así como la finalidad de sus anuncios publicitarios. |
| | Comprende de manera particular la relevancia de leer advertencias en el etiquetado de los productos por consumir y/o adquirir. | Identifica emisor, receptor y propósito de anuncios publicitarios difundidos en diferentes medios y reflexiona sobre su veracidad. |
| | Identifica mensajes, recursos gráficos y audivisuales utilizados en diversos anuncios publicitarios. | Reflexiona y comenta sobre la función persuasiva del lenguaje publicitario y el desarrollo del pensamiento crítico ante la publicidad. |
| | Analiza y comenta mensajes publicitarios para identificar beneficios y perjuicios derivados del consumo de los productos publicitados. |  |
| | Reflexiona acerca de las ventajas del consumo responsable y de la toma de decisiones con base en la información que se señala en los productos. |  |
| Indagación y reelaboración de notas informativas con opiniones sobre hechos que afectan a la escuela y/o a la comunidad. | Interactúa con medios de comunicación y comenta hechos noticiosos o noticias de su interés. | Conoce hechos noticiosos o noticias por medio de noticieros de radio y/o televisión. |
