| Contenidos | 5º | 6º |
| Estructura y funcionamiento del cuerpo humano: sistemas, circulatorio, respiratorio e inmunológico, y su relación con la salud ambienta, así como acciones para su cuidado. | Describe y representa mediante modelos, la relación de la nariz, tráquea y pulmones, como parte del sistema respiratorio, con el intercambio de gases. | Explica la participación del sistema inmunológico en la defensa y protección del cuerpo humano ante infecciones y enfermedades, algunas de las células y órganos que lo conforman, sin profundizar en características y funciones específicas. |
| | Indaga y explica con modelos, la función general del corazón y los vasos sanguíneos (arterias y venas), que forman parte del sistema circulatorio y su relación con el intercambio de gases. | Describe los beneficios y practica acciones para fortalecer y cuidar el sistema inmunológico: vacunación, higiene, alimentación saludable, consumo de agua simple potable, descanso, actividades físicas y recreativas. |
| | Comprende que la frecuencia cardiaca es el número de latidos del corazón en un minuto, que se puede medir en los puntos en los que se ubican arterías (muñecas, cuello, tobillos) a través del pulso cardiaco; establece relaciones entre la actividad física y la frecuencia cardiaca. | Argumenta la importancia de las vacunas como aportes científicos y tecnológicos para prevenir enfermedades transmisibles y de la Cartilla Nacional de Salud para dar seguimiento a su estado de salud, así como de prácticas culturales para prevenirlas. |
| | Indaga los factores del medio ambiente que inciden en la salud de los sistemas circulatorio y respiratorio; propone y practica acciones para prevenir infecciones y enfermedades y favorecer su cuidado. | Explica los factores que ponen en riesgo la salud y aquellos que la favorecen al analizar diversas situaciones y propone acciones para reducir la propagación de enfermedades transmisibles en los entornos familiar, escolar y comunitario. |
| Etapas del desarrollo humano: proceso de reproducción y prevención de infecciones de transmisión sexual (ITS) y embarazos en adolescentes, en el marco de la salud sexual y reproductiva. | Describe a la infancia, adolescencia, madurez y vejez como parte del desarrollo humano, así como las características, necesidades, responsabilidades, formas de pensar y cuidades generales en cada una de ellas. | Analiza y argumenta las implicaciones y riesgos del embarazo a temprana edad o en adolescentes y las consecuencias en los ámbitos de salud, personal, familiar, educativo y económico. |
| | Comprende que el embarazo es resultado de una relación sexual, a partir de describir y representar con modelos el proceso general de la reproducción en los seres humanos: fecundación, embarazo, parto, que implica la toma de decisiones libres e informadas y su prevención y planificación es responsabilidad tanto de hombres como de mujeres, y que forma parte de sus derechos sexuales y reproductivos. | Toma decisiones responsables e informadas relacionadas con la salud sexual y reproductiva, a partir de comprender que el ejercicio de la sexualidad es una decisión propia, en la que permean los valores, formas de pensar de cada persona y la cultura, y forma parte de los derechos sexuales. |
| | Analiza diversas situaciones acordes a su contexto relacionadas con el ejercicio de la sexualidad para reconocerlo como un derecho de todas las personas y de vivirla de manera libre, informada, seguda como parte de la salud sexual. | Compara y argumenta ventajas y desventajas de llevar a cabo conductas sexuales responsables para evitar embarazos e ITS, incluido el VIH; uso del condón, retrado de la actividad sexual o la abstención. |
| | Argumenta acerca de la importancia de los vínculos afectivos, la igualdad, el respeto, la resonsabilidad y la comunicación en las relaciones de pareja, con la finalidad de prevenir violencia en el noviazgo y embarazos en la adolescencia, considerando su proyecto de vida y el inicio de la actividad sexxual. | Analiza creencias o ideas falsas en torno a las ITS, con base en las vías de transmisión y prevención, el uso de métodos anticonceptivos (variedad, efectividad y accesibilidad) y las conductas de autocuidado. |
| |  | Reconoce que el consumo de alcohol y otras sustancias adictivas, el rechazo al uso de métodos anticonceptivos, entre otros, son factores que propician conductas violentas vinculadas al ejercicio de la sexualidad: abuso sexual, hostigamiento, violación, violencia infantil y de género. |
| Alimentación saludable: características de la dieta correcta, costumbres de la comunidad, riesgos del consumo de alimentos ultraprocesados, y acciones para mejorar la alimentación. | Explica las características de la dieta correcta: variada, completa, equilibrada, inocua, suficiente y la contrasta con sus hábitos de alimentación para tomar decisiones en beneficio de su salud. | Establece relaciones entre problemas asociados a la alimentación: sobrepeso, obesidad y desnutrición con factores de riesgo como consumo de alimentos y bebidas ultraprocesadas; analiza las causas y riesgos de trastornos de la alimentación como la anorexia y la bulimia. |
