| Contenidos | 5º | 6º |
| Las familias como espacio para el desarrollo del sentido de pertenencia y autonomía, para una sana convivencia. | Participa en distintas formas de convivencia en la familia, para fortalecer su sentido de pertenencia y afecto. | Diseña e interactúa en distintos escenarios de convivencia, para fortalecer su autonomía y su participación en la familia. |
| | Reflexiona acerca de los valores heredados de la familia, para el desarrollo de una sana convivencia en la escuela y la comunidad. | Promueve los valores familiares, para la resolución de conflictos y el desarrollo personal. |
| Alternativas ante conflictos y problemas de la vida en la comunidad. | Reflexiona sobre los conflictos que tiene en la escuela y la familia, para valorar las posibles alternativas de solución. | Reflexiona y comparte los problemas y conflictos que se presentan en su comunidad, para proponer alternativas de solución viables. |
| | Valora la pertinencia del diálogo, para solucionar los conflictos interpersonales. | Valora propuestas de alternativas que plantea para valorar su viabilidad en su comunidad. |
| La escuela como ventana hacia el futuro. | Intercambia experiencias de estudio, para visualizar las opciones que tiene en su futuro. | Indaga sobre experiencias de estudio y comunidades de práctica, para ampliar sus horizontes de formación. |
| | Reflexiona sobre sus preferencias, para imaginar sus proyectos de vida. | Se informa acerca de la oferta educativa en su región, para identificar sus posibilidades de ingreso al nivel de educación media. |
| La comunidad, como espacio para el aprendizaje y el bienestar común. | Argumenta la pertinencia y vigencia de las ideas, conocimientos y prácticas culturales de su comunidad, para valorar sus beneficios en el bienestar común. | Profundiza acerca de ideas, conocimientos y prácticas culturales, para proponer alternativas orientadas a promover, preservar y difundir para el bien común. |
| | Experimenta diferentes tipos de organización, medios, recursos y procesos, para contribuir en el desarrollo sustentable de su comunidad. | Diseña, bajo los principios de respeto y tolerancia, estrategias de organización ante diferentes situaciones, para la prevención de conflictos, la satisfacción de necesidades comunes y el desarrollo sustentable de su comunidad. |
| Formas de ser, pensar, actuar y relacionarse. | Reflexiona acerca de las formas de ser, pensar, actuar y relacionarse que tienen las personas y los factores que las originan para propiciar el entendimiento mutuo. | Valora sus experiencias acerca de las formas de ser, pensar, actuar y relacionarse en determinadas situaciones, para favorecer su comprensión, el ejercicio de la empatía y el logro de metas. |
| Construcción del proyecto de vida | Replantea las formas de satisfacer las necesidades e intereses, para promover la autodeterminación orientada al cumplimiento de metas. | Valora sus logros y retos afrontados en la historia personal para definir aspiraciones y acciones a realizar ante nuevas etapas de la vida. |
| | Analiza los intereses individuales y aquellos que comparte, para identificar situaciones en las que se requiere pedir apoyo y en las que se pueden acordar propuesta conjuntas. | Valora logros y cambios en gustos, necesidades, intereses y habilidades actuales para reestructuras metas que favorezcan el desarrollo personal y social. |
| Educación integral en Sexualidad. | Intercambia experiencias acerca de sensaciones de placer o displacer que se presentan en la interacción, para argumentar las causas, prever situaciones de riesgo y realizar prácticas seguras. | Reflexiona acerca de la importancia de expresar su consentimiento o rechazo ante situaciones que le generan placeres y displaceres para valorar las implicaciones en su bienestar. |
| Equidad de género | Reflexiona sobre situaciones asociadas con la diversidad de identidades y género, para proponer acciones en contra de la discriminación. | Analiza situaciones de discriminación asociadas con la identidad o género en la escuela, la comunidad y otros ámbitos, para reconocer formas de violencia y participar en acciones de prevención. |
| Capacidades, habilidades y destrezas motrices. | Reconoce posibilidades y límites al participar en situaciones de juego e iniciación deportiva, individuales y colectivas, para valorar su desempeño y determinar posibles mejoras. | Aplica sus capacidades, habilidades y destrezas motrices al organizar y participar en situaciones de juego e iniciación deportiva, para favorecer su disponibilidad corporal. |
| Potencialidades cognitivas, expresivas, motrices, creativas y de relación. | integra sus capacidades y habilidades en situaciones lúdicas y expresivas (individuales y colectivas), para lograr mayor seguridad y confianza. | Diseña propuestas de actividades lúdicas y expresivas a partir de sus intereses, capacidades y habilidades para fortalecer su imagen corporal. |
| Estilos de vida activos y saludables. | Plantea alternativas de actividades físicas que puede practicar dentro y fuera de la escuela, con la intención de desarrollar un estilo de vida activo. | Evalúa los factores que limitan la práctica constante de actividades físicas, para implementar opciones que permitan superarlos a lo largo de la vida. |
| Pensamiento lúdico, estratégico y creativo. | Planifica e implementa estrategias ante situaciones de juego y cotidianas, para contar con opciones que incrementen la efectividad de su actuación. | Emplea el pensamiento estratégico y divergente ante situaciones de juego o cotidianas, para valorar la actuación, individual y colectiva y adaptarla de acuerdo con el contexto. |
| Interacción motriz | Promueve ambientes de participación en situaciones de juego, iniciación deportiva y cotidianas, para valorar posibles interacciones en favor de una sana convivencia. | Organiza e implementa situaciones e juego e iniciación deportiva, para favorecer la convivencia en la escuela y la comunidad. |
| Acciones individuales que repercuten en la conservación y mejora de la salud. | Construye alternativas saludables y sostenibles asociadas con hábitos de higiene personal y limpieza de los espacios, para promover la toma de conciencia sobre su impacto en el bienestar personal y social. | Promueve alternativas de hábitos de higiene personal y limpieza de los espacios en la comunidad, para impulsar la toma de decisiones informadas que contribuyen a asumir práctica saludables y sostenibles. |
| | Analiza los hábitos alimentarios presentes en la familia y comunidad, para valorar su impacto en favor de un consum0 responsable. | Comprende los riesgos del consumo de alimentos procesados y ultraprocesados en la salud y el medio ambiente, para favorecer la adopción de prácticas alimentarias saludables y sostenibles. |
| | Practica diversas estrategias que permiten reaccionar a cambios o afrontar situaciones de riesgo relacionadas con accidentes, adicciones y formas de violencia, para favorecer el bienestar personal y colectivo. | Diseña alternativas que contribuyen a afrontar cambios o situaciones de riesgo relacionadas con accidentes, adicciones y formas de violencia para valorar su pertinencia y determinar su viabilidad. |
| Sentido de comunidad y satisfacción de necesidades humanas. | Argumenta acerca de la pertinencia de ideas, conocimientos y prácticas, culturales de la comunidad, para valorar sus beneficios y áreas de oportunidad en favor del bienestar individual y colectivo. | Diseña alternativas orientadas a promover, preservar y, en caso necesario, replantear ideas, conocimientos y prácticas culturales, para impulsar una mayor difusión y participación. |
| | Experimenta formas de organización y representación gráfica, así como medios, recursos y procesos empleados en la satisfacción de necesidades, con el fin de proponer mejorar orientadas a fomentar el desarrollo sostenible. | Diseña de manera consensuada, estrategias de organización ante diferentes situaciones que impliquen cambios que pueden generar resistencia, para la prevención de problemas y satisfacción de necesidades, así como el aprovechamiento responsable y sostenible de recursos. |
| Toma de decisiones y creatividad, ante problemas de la vida. | Describe los problemas que se presentan en su vida, para reflexionar sobre posibles soluciones. | Describe los problemas de vida que ha enfrentado para reflexionar sobre su resolución con base en el juicio crítico. |
| | Reflexiona sobre las posibles alternativas de solución ante problemas para analizar la toma de decisiones. | Valora su capacidad creadora para la solución de problemas en la vida y en su comunidad con base en el juicio crítico. |
| | Valora si en la toma de decisiones interviene causa-efecto para establecer causalidades del problema o se sustenta en el juicio crítico. | Evalúa la asertividad para expresar sus emociones sin perjudicar a otra persona. |
| |  | Dramatiza una propuesta de juicio crítico en la toma de decisiones para discernir la solución de problemas de la vida. |
| Los efectos y su influencia en el bienestar. | Distingue los factores que influyen en el estado de ánimo y la vida cotidiana, para mejorar la convivencia y el autocuidado. | Reflexiona sobre hábitos que afectan positiva o negativamente en el estado de ánimo para lograr el bienestar personal y social. |
| | Explora las reacciones emocionales ante diversas situaciones y contextos para mejorar la convivencia. | Crea estrategias que ayudan a la expresión adecuada de las emociones, y que favorecen la interacción y el bienestar personal y social. |
