| Contenidos | 5º | 6º |
| Valoración de la biodiversidad en el territorio donde se ubica la localidad, entidad, México y el mundo, valores y acciones sustentables. | Comprende la biodiversidad, su función como elemento vital en Tierra y en el equilibrio de la biosfera, así como la importancia para la vida humana y de las demás especies. | Comprende la biodiversidad en la Tierra, sus sitema de relaciones e interdpendencia global. |
| | Compara e interpreta representaciones cartográficas de la biodiversidad de México, su entidad y localidad, reconociendo su distribución y los elementos que la hacen posible (características y dinámica del suelo, tipo de clima, altitud, latitud y continentalidad, entre otros). | Interpreta representaciones cartográficas de la riqueza en biodiversidad de continentes (África, América, Antártida, Asia, Europa, Oceanía) aguas océanicas y continentales. |
| | Indaga cómo y por qué está desapareciendo la biodiversidad, incluyendo los cambios de clima global y sus riesgos para la vida. | Explica los procesos ecosistémicos de la biodiversidad, en relación con la circulación de energía mediante las interacciones entre los seres humanos, otros seres vivos, el agua, el aire y el suelo, así como sus beneficios ambientales. |
| | Propone y realiza acciones que ayuden a proteger la biodiversidad, de acuerdo con sus posibilidades, desde una perspectiva crítica. | Comprende relaciones sociales, económicas, culturales y políticas en diversas interacciones mediadas por intereses (formas de producción, abastecimiento, distribución, estilos de consumo en el mundo, percepciones del entorno, tradiciones alimenticias, culturales, identidad cultural, sentido de pertenencia, inspiración estética o espiritual), así como formas de concebir la naturaleza, que favorecen relaciones armónicas o desfavorecen su integridad y su función para la vida incidiendo en el desbalance de la biósfera como lo evidencia el cambio climático. |
| |  | Analiza críticamente formas de cuidar, respetar y proteger la biodiversidad sustentable. |
| Valoración de la megadiversidad mexicana: megadiversidad en México,  diversidad cultural, relaciones ser humano- naturaleza y representaciones distintas de las diferentes culturas o grupos sociales, sobre la biodiversidad y su manejo, acorde a sus contextos. | Comprende por qué México es un país biodiverso y biocultural, así como la biodiversidad local y su influencia en las tradiciones culturales de la comunidad (cultivos, alimentos, indumentaria, herbolaria, fiestas, ritos, entre otras). | Investiga sobre las características geográficas y las regiones biodeográficas que hacen de México un país megadiverso y biocultural, relacionándolas con las zonas climáticas, los espacios económicos, la distribución de la población en México y los países con mayor biodiversidad. |
| | Reconoce que los grupos sociales generan conocimientos distintos sobre la biodiversidad y su manejo, acorde a sus contextos y que éstos influyen en la conformación de culturas diversas con formas propias de representar el mundo, la vida y sus relaciones con la naturaleza, entre sí y con los otros. | Analiza y argumenta cómo la biodiversidad local influye en las tradiciones culturales de la comunidad (cultivos, alimentos, indumentaria, herbolaria, fiestas, ritos, entre otras). |
| |  | Argumenta por qué la megadiversidad de México es parte de su patrimonio biocultural, para comprender su estrecha vinculación con el desarrollo social, la salud y el bienestar de la población, y ejemplifica elementos del patrimonio biocultural de México reconocidos a nivel mundial. |
| Sustentabilidad de la biodiversidad y humanismo: rasgos de los estilos de vida y modelos de desarrollo dominantes y su impacto en la biodiversidad, implicaciones socioambientales de la preservación. | Analiza críticamente estidos de vida y modelos de desarrollo dominantes en las sociedades del Mundo y de México a través del tiempo, así como su impacto desfavorable en la biodiversidad y el ambiente en su comunidad y del país (plantas, animales, suelos, aire, cuerpos de agua, manglares, agricultura, salud humana, entre otros). | Valora las causas y los factores sociales y los factores sociales que impactan en la problemática ambiental, en la salud de los ecosistemas, en los seres humanos y demás seres que amenazan la continuidad de la vida en la Tierra. |
| | Argumenta críticamente cómo es que, bajo el ideal de satisfacer las necesidades humanas, los patrones de producción y venta de consumibles se vinculan con la extracción de los bienes naturales, el consumo irracional de energía en su procesamiento y desecho, y los riesgos ambientales locales y globales. | Analiza críticamente las implicaciones socioambientales de la mercantilización de la biodiversidad, y propone alternativas sustentables para favorecer la estabilidad y seguridad de la convivencia humana con la naturaleza. |
| | Reflexiona acerca de los valores e implicaciones sociambientales de la mercantilización de la biodiversidad, e identifica otros valores y formas de relación con la naturaleza, cuya prioridad sea la de cuidar su estabilidad y construir un mundo más seguro y humanista. | Propone y realiza acciones de consumo sustentable en su casa, escuela y comunidad para proteger y contribuir a regenerar y preservar la biodiversidad. |
| |  | Dialoga acerca de qué manera, los posibles efectos del cambio climático pueden afectar a la biodiversidad y a las personas de acuerdo con el género y la edad o si viven en zona urbana o rural. |
| Ética y biodiversidad: factores sociales que propician la convivencia armónica con el medio ambiente basada en el respeto, responsabilidad, justicia social y equidad con la naturaleza. | Dialoga acerca de los valores que necesitamos promover para conservar y proteger a la biodiversiad. | Dialoga y construye juicios éticos acerca de los derechos de los seres vivos, y establece compromisos para su trato respetuoso y digno, así como su protección y preservación. |
| | Elige y pone en práctica, de manera crítica, acciones de bienestar común para la regeneración y preservación de su biodiversidad en la vida cotidiana, promoviendo que autoridades, personas y familias de su comunidad, colaboren responsablemente para el logro de tal fin. | Indaga y evalúa situaciones que impactan la biodiversidad de México, considerando los valores, las interacciones y acciones personales, familiares, comunitarias y de otras sociedades. |
| | Dialoga y construye juicios éticos acerca de los derechos de los seres vivos, y establece compromisos para su trato respetuoso y digno, así como su protección y preservación. | Propone y pone en práctica, de manera crítrica, con juicio ético y de acuerdo con sus posibilidades, acciones de bienestas común para la regeneración y preservación de la biodiversidad en la vida cotidiana; reflexionando acerca de los derechos de la naturaleza. |
| |  | Argumenta sobre la responsabilidad de todos los sectores sociales, para llevar a cabo medidas necesarias y solidarias que protejan a la megadiversidad del país y del mundo, bajo un enfoque ético y comprometido con la sustentabilidad, para garantizar su regeneración, preservación, el bienestar común y el derecho humano a un ambiente sano de las presentes y futuras generaciones. |
