| Contenidos | 5º | 6º |
| Narración de sucesos autobiográficos. | Lee textos autobiográficos y reflexiona sobre las razones por las que suelen estar narrados en primera persona del singular. | Lee textos autobiográficos e identifica las relaciones temporales de secuencia, simultaneidad y duración. |
| | Determina los sucesos autobiográficos que desea narrar y los organiza lógicamente, resaltando los aspectos más significativos. | Analiza distintos sucesos de su vida para elegir los más significativos y organizarlos de manera coherente en una narración. |
| | Escribe la narración de los hechos autobiográficos, haciendo uso de comas, puntos y seguido, puntos y aparte y dos puntos, para dar claridad y orden a las ideas. | Determina el destinatario y la forma en que desea narrar sucesos autobiográficos significativos, para causar efectos particulares. |
| | Describe personas, lugares y hechos a través del uso de reiteraciones, frases adjetivas, símiles e imágenes, y mantiene la referencia a los mismos en toda la narración por medio de pronombres y sinónimos. | Usa reflexivamente adverbios, frases adverbiales y nexos temporales, para indicar secuencia, simultaneidad y duración en los sucesos narrados. |
| | Hace y recibe sugerencias sobre aspectos de mejora, y comparte con la comunidad educativa las versiones finales. | Colabora en la edición de un libro de textos autobiográficos, y sugiere formas de reproducirlo para que cada alumna y alumno tenga el suyo. |
| Comprensión y producción de textos explicativos. | Lee distintos tipos de textos explicativos y reflexiona sobre sus características y funciones. | Localiza y lee textos explicativos de temas variados. |
| | Expone las diferencias entre una descripción y una explicación, y entre un texto descriptivo y uno explicativo. | Expresa con sus palabras las ideas que comprende de los textos que lee y elabora resúmenes que le permitan reconstruir las ideas principales y los elementos de los textos explicativos. |
| | Recupera información de distintas fuentes, como artículos de divulgación, libros de texto, reportes de investigación, para producir un texto explicativo sobre temas diversos y con propósitos particulares. | Reconoce y emplea relaciones de causa-consecuencia. |
| | Establece relaciones causales y emplea expresiones como en consecuencia, por lo tanto, debido a, a cuasa de, porque, por consiguiente. | Emplea palabras como primero, finalmente, luego, después, posteriormente, durante, para organizar las oraciones. |
| | Distingue sus propias palabras de la paráfrasis y citas textuales, y registra la información bibliográfica de las fuentes consultadas: autor, título, editorial, lugar y fecha de publicación, páginas consultadas, etcétera. | Utiliza palabras nuevas y/o técnicas en el texto explicativo que produce para compartir. |
| Participación en debates sobre temas de interés común. | Reconoce que hay temas donde las opiniones se dividen y es necesario sustentar las propias. | Prepara su participación en un debate y formula los argumentos por presentar, cuidadndo que la exposición del tema por discutir resulte coherente y suficiente, los argumentos claros, pertinentes y fundamentados, y se expliciten las referencias bibliográficas y citas textuales que dan soporte a la información que se comparte. |
| | Conoce la función y organización de un docente. | Identifica la función de los conectivos causales, temporales y lógicos en textos argumentativos. |
| | Investiga y toma notas de las ideas centrales y otros datos significativos con relación al tema del debate, con la intención de construir argumentos. | Escucha y opina de manera crítica durante su desempeño como participante, moderador, moderadora o público en un debate. |
| | Identifica la función de los nexos de subordinación en textos argumentativos. |  |
| | Hace su presentación, opina sobre lo que dicen otros y otras participantes y reconocen que es posible cambiar de opinión, a partir de las opiniones argumentadas de las demás personas. |  |
| Comprensión y producción de textos argumentativos. | Lee textos sobre temas polémicos, y distingue las opiniones de los datos y hechos concretos. | Lee textos sobre temas polémicos e identifica los argumentos que sustentan cada postura. |
| | Compara distintas formas de construir y expresar argumentos, siempre en un marco de respeto. | Registra los principales argumentos y las conclusiones de las autoras y los autores de los textos leídos. |
| | Expresa sus opiniones oralmente basado en argumentos sobre textos que incluyen temas polémicos. | Reflexiona sobre la relación entre los argumentos principales y las conclusiones. |
| |  | Escribe un texto, a partir de las ideas que registró, en el que expresa sus propias opiniones sobre los temas tratados, y en el que emplea nexos que anteceden los argumentos, como porque, ya que, si bien, en consecuencia. |
| Comprensión y producción de textos informativos, para ampliar sus conocimientos sobre temas de interés tanto colectivo como individual. | Selecciona y lee textos informativos sobre temas de su interés. | Lee textos informativos y reflexiona sobre su organización. |
| | Formula preguntas para guiar la búsqueda de información específica, para lo cual usa los signos de interrogación. | Identifica información específica sobre asuntos de su interés y comprende el tema central. |
| | Reconoce el tema central de los textos leídos. | Reconoce vínculos entre el contenido de textos informativos, respecto del contraste, la complementariedad y la causa-consecuencia del tema abordado. |
