| Contenidos | 1º | 2º |
| Cuerpo humano: estructura externa, acciones para su cuidado y sus cambios como parte del crecimiento. | Compara y representa las partes externas del cuerpo humano, explica su funcionamiento; propone y práctica acciones para cuidarlo y argumenta la frecuencia con que es recomendable llevarlas a cabo. | Reconoce y describe los órganos de los sentidos y su función; explica y representa acciones que los ponen en riesgo, así como aquellas que previenen accidentes y que favorecen su cuidado. |
| | Describe sus características físicas y las de sus pares para favorecer el autoconocimiento y reconocer que todos los cuerpos son especiales, únicos e irrepetibles y merecen ser respetados. | Identifica los órganos sexuales externos como una característica natural de las personas, utiliza los nombres correctos para referirse a ellos (vulva, pene, testículos), y reconoce la importancia de practicar hábitos de higiene. |
| | Identifica, representa cronológicamente y comunica cómo es ahora y cómo era antes con base en características físicas, gustos, intereses, o actividades que realiza, e infiere algunos cambios que tendrá en el futuro al compararse con personas mayores y reconoce que son parte del crecimiento. | Reconoce que los órganos sexuales son partes privadas que no deben ser tocadas por otras personas, para propiciar el autoconocimientos, el autocuidado y el respeto. |
| Beneficios del consumo de alimentos saludables, de agua simple potable, y de la práctica de actividad física. | Indaga, registra y compara el tipo, la frecucneica y la cantidad de bebidas y alimentos que consume de manera personal en casa y la escuela. | Reconoce y representa el tipo y la cantidad de alimentos que consume en comparación con el consumo de los adultos y con la actividad física que realizan. |
| | Explica y representa los beneficios de consumir alimentos saludables (frutas, verduras, cereales, leguminosas y de origen animal) y agua simple potable, al compararlos con alimentos con alto contenido de azúcar, grasa, sal, y bebidas azucaradas; toma decisiones a favor de una alimentación saludable. | Reconoce la importancia de una alimentación saludable, que responda a las necesidades y características de la edad y la actividad física de cada persona. |
| | Describe los alimentos y bebidas saludables que consume en asa, escuela y comunidad, y que junto con la práctica de actividad física le ayudan a crecer y evitar enfermedades. | Reconoce y clasifica los alimentos y bebidas, que consume en la escuela y en su casa, en naturales, procesados y ultraprocesados; e infiere sus implicaciones en la salud. |
| |  | Describe los alimentos y bebidas saludables que se producen localmente (frutas, verduras, carnes, lácteos, fermentados, entre otros) y se consumen en ciertos momentos del año, de acuerdo con su contexto y las prácticas socioculturales. |
| Características del entorno natural y sociocultural. | Distingue, describe y registra, en su lengua materna, las características del entorno natural: plantas, animales, cuerpos de agua, si hace frío o calor, frecuencia de lluvias y sequías, entre otras. | Compara y describe características naturales de diferentes lugares de México como desiertos, selvas, arrecifes de coral, manglares, entre otros; a partir de identificar cómo son, si hace frío o calor, la frecuencia con que llueve, cómo son las plantas y los animales que viven en los lugares, o de qué se alimentan. |
| | Observa, compara y registra características de plantas y animales, como color, estructura y cubierta corporal, si son domésticos o silvestres; tienen flores, frutos o tienen espinas, raíces u hojas, entre otras, para clasificarlos a partir de criterios propios o consensuados. | Observa, con apoyo de lupas y lentes de aumento, plantas y animales para comparar y representar sus características: forma y número de patas, lugar donde habitan, cómo se desplazan, que comen o qué necesitan para vivir, textura y forma de las hojas, tallos, si son árboles, arbustos o yerbas; describe algunas interacciones de plantas y animales con otros componentes naturales (agua, suelo, aire, sol). |
| | Identifica y describre algunas prácticas socioculturales que forman parte de su entorno, relacionadas con el tipo de vivienda, vestido, juego, formas de hablar, medir, celebraciones y cuidado de la naturaleza, entre otras. | Reconoce y describe cómo las personas aprovechan los componentes naturales para satisfacer sus necesidades de vestido, alimentación y vivienda. |
| | Representa en dibujos o croquis los componentes del entorno natural y sociocultural a partir de algunas referencias espaciales (enfrente, detrás, derecha, izquiera, cerca, lejos, entre otras) y el punto de referencia e la persona observadora. |  |
| Impacto de las actividades humanas en el entorno natural, así como acciones y prácticas socioculturalres para su cuidado. | Identifica actividades personales, familiares y de la comunidad que impactan en la naturaleza y en la salud de las personas, las registra y clasifica como positivas o negativas. | Describe y representa el efecto que tienen las actividades humanas en plantas, animales, agua, suelo y aire: reflexiona en torno a la manera en cómo se aprovechan y toma decisiones que tengan un menor impacto en el entorno natural y la salud. |
| | Propone y participa en acciones y prácticas socioculturales de su comunidad que favorecen el cuidado del entorno natural; expresa la importancia de establecer relaciones más armónicas con la naturaleza. | Identifica, describ e y participa en acciones y prácticas socioculturales para disminuir el impacto en plantas, animales, agua, suelo y aire y cuidar el entorno natural. |
| Objetos del entorno: características, propiedades, estados físicos y usos en la vida cotidiana. | Observa, manipula y compañara diversos objetos a partir de características como color, tamaño, olor, textura, material de qué están hechos (madera, vidrio, metal, plástico) entre otras, para clasificarlos con base en criterios propios o consensuados. | Experimenta y compara la temperatura de diversos objetos con el uso de sus sentidos y del termómetro para proponer una escala en la que ubique los objetos de los más fríos a los más calientes; reconoce que este instrumento permite analizar mediciones de temperatura más precisas. |
| | Explora y experimenta con diversos materiales para explicar sus propiedades: flexible (se puede doblar o no); ligero o pesado; elástico (regresa o no a su forma original después de haber sido estirado) y resistente (difícil o fácil de romper); los clasifica de acuerdo con ellas y argumenta sus conclusiones. | Identifica los materiales con que están hechos algunos objetos que hay en casa y que le protegen de las quemaduras o que permiten manipular objetos calientes; reconoce la importancia de prevenir quemaduras y propone acciones apra evitarlas. |
| | Establecer relaciones entre propiedades de los materiales con el uso que se les da al elaborar ciertos objetos, como plástico con el cual se hacen bolsas, envases, sillas, cubiertos, juguetes, plumas, entre otros; diseña y construye un objeto o juguete con base en las propiedades físicas de los materiales. | Identifica los estados físicos del agua a partir de experimentar con la variación de la temperatura y establecer relaciones causa-efecto; reconoce las características de sólidos y líquidos (si tienen o no una forma definida) y extrapola dichas características a otros materiales. |
